ID,Ano,País,Área do País,Continente,População,PIB (Dólares)
309,2009,Antigua and Barbuda,447.0,North America,84534.0,1228329629.63
310,2010,Antigua and Barbuda,447.0,North America,85695.0,1148700000.0
311,2011,Antigua and Barbuda,447.0,North America,86729.0,1137637037.04
312,2012,Antigua and Barbuda,447.0,North America,87674.0,1199948148.15
313,2013,Antigua and Barbuda,447.0,North America,88497.0,1181448148.15
314,2014,Antigua and Barbuda,447.0,North America,89236.0,1249733333.33
315,2015,Antigua and Barbuda,447.0,North America,89941.0,1336692592.59
316,2016,Antigua and Barbuda,447.0,North America,90564.0,1436585185.19
317,2017,Antigua and Barbuda,447.0,North America,91119.0,1467955555.56
318,2018,Antigua and Barbuda,447.0,North America,91626.0,1604770370.37
319,2019,Antigua and Barbuda,447.0,North America,92117.0,1675403703.7
320,2020,Antigua and Barbuda,447.0,North America,92664.0,1416348148.15
321,2021,Antigua and Barbuda,447.0,North America,93219.0,1560518518.52
322,2022,Antigua and Barbuda,447.0,North America,93763.0,1757603703.7
323,2000,"Bahamas, The",13878.0,North America,325014.0,8076470000.0
324,2001,"Bahamas, The",13878.0,North America,329626.0,8317830000.0
325,2002,"Bahamas, The",13878.0,North America,334002.0,8881160000.0
326,2003,"Bahamas, The",13878.0,North America,338490.0,8870090000.0
327,2004,"Bahamas, The",13878.0,North America,343089.0,9055290000.0
328,2005,"Bahamas, The",13878.0,North America,347804.0,9836200000.0
329,2006,"Bahamas, The",13878.0,North America,352664.0,10167250000.0
330,2007,"Bahamas, The",13878.0,North America,357666.0,10618340000.0
331,2008,"Bahamas, The",13878.0,North America,362795.0,10526000000.0
332,2009,"Bahamas, The",13878.0,North America,368057.0,9981960000.0
333,2010,"Bahamas, The",13878.0,North America,373272.0,10095760000.0
334,2011,"Bahamas, The",13878.0,North America,377950.0,10070450000.0
335,2012,"Bahamas, The",13878.0,North America,382061.0,10720500000.0
336,2013,"Bahamas, The",13878.0,North America,385650.0,10562800000.0
337,2014,"Bahamas, The",13878.0,North America,389131.0,11176100000.0
338,2015,"Bahamas, The",13878.0,North America,392697.0,11672900000.0
339,2016,"Bahamas, The",13878.0,North America,395976.0,11750800000.0
340,2017,"Bahamas, The",13878.0,North America,399020.0,12253500000.0
341,2018,"Bahamas, The",13878.0,North America,401906.0,12653600000.0
342,2019,"Bahamas, The",13878.0,North America,404557.0,13058700000.0
343,2020,"Bahamas, The",13878.0,North America,406471.0,9754600000.0
344,2021,"Bahamas, The",13878.0,North America,407906.0,11527600000.0
345,2022,"Bahamas, The",13878.0,North America,409984.0,12897400000.0
346,2000,Barbados,430.0,North America,264657.0,3059500000.0
347,2001,Barbados,430.0,North America,265377.0,3054500000.0
348,2002,Barbados,430.0,North America,266455.0,3106500000.0
349,2003,Barbados,430.0,North America,267499.0,3209500000.0
350,2004,Barbados,430.0,North America,268505.0,3444500000.0
351,2005,Barbados,430.0,North America,269477.0,3819500000.0
352,2006,Barbados,430.0,North America,270425.0,4217450800.0
353,2007,Barbados,430.0,North America,271444.0,4674007450.0
354,2008,Barbados,430.0,North America,272635.0,4784925100.0
355,2009,Barbados,430.0,North America,273791.0,4465657300.0
356,2010,Barbados,430.0,North America,274711.0,4529928300.0
357,2011,Barbados,430.0,North America,275486.0,4657699450.0
358,2012,Barbados,430.0,North America,276197.0,4610096000.0
359,2013,Barbados,430.0,North America,276865.0,4677248300.0
